owner,repo,fileTuple<fileName.fileSize>
pallets,flask,"('main/examples/tutorial/README.rst', 1273)"
pallets,flask,"('main/examples/tutorial/flaskr/__init__.py', 1430)"
pallets,flask,"('main/examples/tutorial/flaskr/auth.py', 3302)"
pallets,flask,"('main/examples/tutorial/flaskr/blog.py', 3317)"
pallets,flask,"('main/examples/tutorial/flaskr/db.py', 1199)"
pallets,flask,"('main/examples/tutorial/flaskr/schema.sql', 498)"
pallets,flask,"('main/examples/tutorial/flaskr/static/style.css', 1696)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/auth/login.html', 424)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/auth/register.html', 428)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/base.html', 752)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/blog/create.html', 447)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/blog/index.html', 790)"
pallets,flask,"('main/examples/tutorial/flaskr/templates/blog/update.html', 690)"
pallets,flask,"('main/examples/tutorial/pyproject.toml', 702)"
pallets,flask,"('main/examples/tutorial/tests/conftest.py', 1454)"
pallets,flask,"('main/examples/tutorial/tests/data.sql', 394)"
pallets,flask,"('main/examples/tutorial/tests/test_auth.py', 2070)"
pallets,flask,"('main/examples/tutorial/tests/test_blog.py', 2503)"
pallets,flask,"('main/examples/tutorial/tests/test_db.py', 616)"
pallets,flask,"('main/examples/tutorial/tests/test_factory.py', 298)"
pallets,flask,"('main/pyproject.toml', 2605)"
pallets,flask,"('main/requirements/build.in', 6)"
pallets,flask,"('main/requirements/build.txt', 265)"
pallets,flask,"('main/requirements/dev.in', 69)"
pallets,flask,"('main/requirements/dev.txt', 1181)"
pallets,flask,"('main/requirements/docs.in', 81)"
pallets,flask,"('main/requirements/docs.txt', 1571)"
pallets,flask,"('main/requirements/tests-pallets-min.in', 96)"
pallets,flask,"('main/requirements/tests-pallets-min.txt', 563)"
pallets,flask,"('main/requirements/tests.in', 64)"
pallets,flask,"('main/requirements/tests.txt', 398)"
pallets,flask,"('main/requirements/typing.in', 54)"
pallets,flask,"('main/requirements/typing.txt', 519)"
pallets,flask,"('main/src/flask/__init__.py', 2625)"
pallets,flask,"('main/src/flask/__main__.py', 30)"
pallets,flask,"('main/src/flask/app.py', 59201)"
pallets,flask,"('main/src/flask/blueprints.py', 3129)"
pallets,flask,"('main/src/flask/cli.py', 33821)"
pallets,flask,"('main/src/flask/config.py', 12856)"
pallets,flask,"('main/src/flask/ctx.py', 14841)"
pallets,flask,"('main/src/flask/debughelpers.py', 5548)"
pallets,flask,"('main/src/flask/globals.py', 1713)"
pallets,flask,"('main/src/flask/helpers.py', 22992)"
pallets,flask,"('main/src/flask/json/__init__.py', 5572)"
pallets,flask,"('main/src/flask/json/provider.py', 7640)"
pallets,flask,"('main/src/flask/json/tag.py', 8871)"
pallets,flask,"('main/src/flask/logging.py', 2330)"
pallets,flask,"('main/src/flask/py.typed', 0)"
pallets,flask,"('main/src/flask/sansio/README.md', 228)"
pallets,flask,"('main/src/flask/sansio/app.py', 37977)"
pallets,flask,"('main/src/flask/sansio/blueprints.py', 24319)"
pallets,flask,"('main/src/flask/sansio/scaffold.py', 30580)"
pallets,flask,"('main/src/flask/sessions.py', 14169)"
pallets,flask,"('main/src/flask/signals.py', 750)"
pallets,flask,"('main/src/flask/templating.py', 7538)"
pallets,flask,"('main/src/flask/testing.py', 10017)"
pallets,flask,"('main/src/flask/typing.py', 3156)"
pallets,flask,"('main/src/flask/views.py', 6789)"
pallets,flask,"('main/src/flask/wrappers.py', 5709)"
pallets,flask,"('main/tests/conftest.py', 4320)"
pallets,flask,"('main/tests/static/config.json', 54)"
pallets,flask,"('main/tests/static/config.toml', 35)"
pallets,flask,"('main/tests/static/index.html', 22)"
pallets,flask,"('main/tests/templates/_macro.html', 55)"
pallets,flask,"('main/tests/templates/context_template.html', 36)"
pallets,flask,"('main/tests/templates/escaping_template.html', 147)"
pallets,flask,"('main/tests/templates/mail.txt', 14)"
pallets,flask,"('main/tests/templates/nested/nested.txt', 11)"
pallets,flask,"('main/tests/templates/non_escaping_template.txt', 169)"
pallets,flask,"('main/tests/templates/simple_template.html', 23)"
pallets,flask,"('main/tests/templates/template_filter.html', 26)"
pallets,flask,"('main/tests/templates/template_test.html', 51)"
pallets,flask,"('main/tests/test_appctx.py', 5029)"
pallets,flask,"('main/tests/test_apps/.env', 33)"
pallets,flask,"('main/tests/test_apps/.flaskenv', 28)"
pallets,flask,"('main/tests/test_apps/blueprintapp/__init__.py', 256)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/__init__.py', 0)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/admin/__init__.py', 366)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/admin/static/css/test.css', 18)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/admin/static/test.txt', 11)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/admin/templates/admin/index.html', 21)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/frontend/__init__.py', 327)"
pallets,flask,"('main/tests/test_apps/blueprintapp/apps/frontend/templates/frontend/index.html', 24)"
pallets,flask,"('main/tests/test_apps/cliapp/__init__.py', 0)"
pallets,flask,"('main/tests/test_apps/cliapp/app.py', 52)"
pallets,flask,"('main/tests/test_apps/cliapp/factory.py', 169)"
pallets,flask,"('main/tests/test_apps/cliapp/importerrorapp.py', 73)"
pallets,flask,"('main/tests/test_apps/cliapp/inner1/__init__.py', 55)"
pallets,flask,"('main/tests/test_apps/cliapp/inner1/inner2/__init__.py', 0)"
pallets,flask,"('main/tests/test_apps/cliapp/inner1/inner2/flask.py', 47)"
pallets,flask,"('main/tests/test_apps/cliapp/message.txt', 38)"
pallets,flask,"('main/tests/test_apps/cliapp/multiapp.py', 67)"
pallets,flask,"('main/tests/test_apps/helloworld/hello.py', 104)"
pallets,flask,"('main/tests/test_apps/helloworld/wsgi.py', 36)"
pallets,flask,"('main/tests/test_apps/subdomaintestmodule/__init__.py', 74)"
pallets,flask,"('main/tests/test_apps/subdomaintestmodule/static/hello.txt', 16)"
pallets,flask,"('main/tests/test_async.py', 3335)"
pallets,flask,"('main/tests/test_basic.py', 51654)"
pallets,flask,"('main/tests/test_blueprints.py', 28921)"
pallets,flask,"('main/tests/test_cli.py', 19849)"
pallets,flask,"('main/tests/test_config.py', 7748)"
pallets,flask,"('main/tests/test_converters.py', 1093)"
pallets,flask,"('main/tests/test_helpers.py', 10286)"
pallets,flask,"('main/tests/test_instance_config.py', 3359)"
pallets,flask,"('main/tests/test_json.py', 8741)"
pallets,flask,"('main/tests/test_json_tag.py', 1998)"
pallets,flask,"('main/tests/test_logging.py', 2529)"
pallets,flask,"('main/tests/test_regression.py', 712)"
pallets,flask,"('main/tests/test_reqctx.py', 8691)"
pallets,flask,"('main/tests/test_session_interface.py', 792)"
pallets,flask,"('main/tests/test_signals.py', 4830)"
pallets,flask,"('main/tests/test_subclassing.py', 475)"
pallets,flask,"('main/tests/test_templating.py', 12323)"
pallets,flask,"('main/tests/test_testing.py', 10675)"
pallets,flask,"('main/tests/test_user_error_handler.py', 8436)"
pallets,flask,"('main/tests/test_views.py', 6698)"
pallets,flask,"('main/tests/typing/typing_app_decorators.py', 635)"
pallets,flask,"('main/tests/typing/typing_error_handler.py', 647)"
pallets,flask,"('main/tests/typing/typing_route.py', 2536)"
pallets,flask,"('main/tox.ini', 1256)"
